mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_2e6961f1,Laurel,,,,unknown,,California,36.7783,-119.4179,Laurel Mountain,1
mt_17828ff6,Laurie,,,,unknown,,Alberta,,,,1
mt_a184897c,Lawson,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_68e3d3ca,Leda,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,1
mt_3f24e567,Lemon,,,,unknown,,Arizona,34.0489,-111.0937,,1
mt_aae6635e,Little,,,,unknown,,Alberta,51.4968,-115.9281,Banff National Park,1
mt_b4ea0625,Little Bear,,,,unknown,,Alaska,64.2008,-149.4937,Little Bear Peak,1
mt_ce0036c7,Little Blue,,,,unknown,,,,,Little Blue Mountain,1
mt_b9161b22,Lone,,,,unknown,,Utah,39.321,-111.0937,Lone Peak,1
mt_0f526403,Long,,,,unknown,,Utah,39.321,-111.0937,Long Wall,1
mt_f0f8f854,Long Ledge on the Salathe,,,,unknown,,California,36.7783,-119.4179,reached Long Ledge on the Salathe Wall,1
mt_ebfb0046,Long's,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
mt_30d2a87a,Lookout,,,,unknown,,Colorado,39.5501,-105.7821,San Juan Mountain,1
mt_d0ac3150,Devil's,,,,unknown,,California,36.4864,-118.5658,Sequoia National Park,1
mt_2326c3c6,Dickey,,,,unknown,,Alaska,63.1148,-151.1926,Denali National Park,1
mt_785b1acb,Dione,,,,unknown,,British Columbia,,,,1
mt_f11ec031,Morning Glory,,,,unknown,,Oregon,43.8041,-120.5542,Morning Glory Wall,1
mt_3ed9ff4b,Morrow,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,1
mt_39e7f45c,Murray,,,,unknown,,Alberta,,,,1
mt_65acca5d,Narao,,,,unknown,,British Columbia,40.3428,-105.6836,Rocky Mountain,1
mt_37e481b7,Near Security Risk,,,,unknown,,Colorado,40.015,-105.405,Boulder Canyon,1
mt_1c9a44eb,Lost,,,,unknown,,Arizona,34.0489,-111.0937,Queen Creek Canyon,1
mt_340fc99a,Lower Town,,,,unknown,,Washington,47.7511,-120.7401,Lower Town Wall,1
mt_766ed40c,Lundin,,,,unknown,,Washington,47.7511,-120.7401,Lundin Peak,1
mt_fad58de7,Main,,,,unknown,,California,36.7783,-119.4179,Lee Vining Canyon,1
mt_018a9567,Manchester,,,,unknown,,,,,Manchester Wall,1
mt_e4b30aa4,Matterhorn,,,,unknown,,California,36.7783,-119.4179,Matterhorn Peak,1
mt_c75504fa,McArthur,,,,unknown,,,,,Elias Mountain,1
mt_0baa7241,McGillivray,,,,unknown,,Alberta,,,,1
mt_ec88f307,Megunticook,,,,unknown,,,,,Camden Hills State Park,1
mt_31a9d83e,Merritt,,,,unknown,,Montana,48.7596,-113.787,Glacier National Park,1
mt_4a548add,Middle,,,,unknown,,Alaska,64.2008,-149.4937,Middle Peak,1
mt_085a6989,Midnight Surf,,,,unknown,,Kentucky,,,Midnight Surf Wall,1
mt_31ba6d36,Military,,,,unknown,,,,,A large group was gathered at Military Wall,1
mt_e383234c,Minimum,,,,unknown,,Utah,39.321,-111.0937,Maple Canyon,1
mt_bfaed56b,Mix Up,,,,unknown,,Washington,47.7511,-120.7401,Mix Up Peak,1
mt_3cf2ac33,Mixup,,,,unknown,,Washington,47.7511,-120.7401,Mixup Peak,1
mt_ad3aa1e3,Caubvick,,,,unknown,,,,,Kluane National Park,1
mt_5a61d9ba,Dougie,,,,unknown,,British Columbia,,,,1
mt_bd8c8f43,Drive-by,,,,unknown,,,,,by Crag,1
mt_d56a0725,Dunderberg,,,,unknown,,California,36.7783,-119.4179,Dunderberg Peak,1
mt_09d4e23e,East Face of Longs,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
mt_31ebcc51,Daly,,,,unknown,,,51.45,-116.5,Yoho National Park,1
mt_73997de2,Dead Cat's,,,,unknown,,Texas,,,s Wall,1
mt_3981475c,Deception,,,,unknown,,Alaska,63.1148,-151.1926,he arrived at Chulitna River Lodge where he called Denali National Park,1
mt_b8c6f15e,Open Space and,,,,unknown,,Colorado,39.5501,-105.7821,s Open Space and Mountain,1
mt_5cd3a76f,Nez Perce,,,,unknown,,Wyoming,43.7904,-110.6818,Grand Teton National Park,1
mt_f11fb8a4,Niblock,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_bf672481,No Helmet Pilot,,,,unknown,,,36.3378,-80.4697,No Helmet Pilot Mountain State Park,1
mt_921f705c,Norman Clyde,,,,unknown,,California,36.7783,-119.4179,Norman Clyde Peak,1
mt_d357fb57,Norquay,,,,unknown,,Alberta,51.4968,-115.9281,two scramblers started up a difficult scramble on Mount Norquay in Banff National Park,1
mt_460491fc,North America,,,,unknown,,California,36.7783,-119.4179,North America Wall,1
mt_2441bac6,North Arapaho,,,,unknown,,Colorado,39.5501,-105.7821,Indian Peaks Wilderness,1
mt_06da233a,North Carolina,,,,unknown,,North Carolina,,,North Carolina Wall,1
mt_da308c22,North Maroon,,,,unknown,,Colorado,39.5501,-105.7821,North Maroon Peak,1
mt_c994df5f,North of the Crystal,,,,unknown,,Colorado,39.5501,-105.7821,Poudre Canyon,1
mt_d5520ffb,Blakiston,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_69dcab4a,Bold,,,,unknown,,Alaska,64.2008,-149.4937,Bold Peak,1
mt_286ab5f0,Bona,,,,unknown,,Alaska,64.2008,-149.4937,Wrangell Mountain,1
mt_05f129e4,Boneyard,,,,unknown,,,,,at the Boneyard Wall,1
mt_09e35174,Bonneville,,,,unknown,,Wyoming,43.076,-107.2903,,1
mt_f952321b,Parks Canada and Canadian,,,,unknown,,British Columbia,50.5,-116.5,Purcell Mountain,1
mt_2b6bb87b,Patterson,,,,unknown,,Alberta,51.4968,-115.9281,Banff National Park,1
mt_bea2188c,Picnic Lunch,,,,unknown,,Oregon,44.3672,-121.1406,Smith Rock State Park,1
